X,Y,OBJECTID,Id,CaseNumber,OccurredDate,OccurredMonth,OccurredYear,DateOfDeath,DateOfDeathMonth,DateOfDeathYear,DateDifference,CaseStatus,Address,Latitude,Longitude,Section,Beat,WeaponCategory,VictimCount,ArresteeCount
-77.570247762482907,43.16913757997397,118,23,00-225842,2000-07-04T04:00:00.000Z,7,2000,2000-07-04T04:00:00.000Z,7,2000,0,CLOSED,"15 PARKSIDE AVE, ROCHESTER, NY, 14609",43.169129,-77.570245,Goodman,215,Firearm,1,1
-77.63448978275936,43.152297574243107,116,25,00-243079,2000-07-17T04:00:00.000Z,7,2000,2000-07-17T04:00:00.000Z,7,2000,0,CLOSED,"24 EDDY ST, ROCHESTER, NY, 14611",43.152289,-77.634487,Genesee,213,Firearm,1,1
-77.597984772872024,43.177461580458768,115,26,00-269322,2000-08-06T04:00:00.000Z,8,2000,2000-08-06T04:00:00.000Z,8,2000,0,CLOSED,"286 BERNARD ST, ROCHESTER, NY, 14621",43.177453,-77.597982,Clinton,257,Firearm,1,1
-77.602955774059112,43.180887580340233,114,27,00-271562,2000-08-07T04:00:00.000Z,8,2000,2000-08-13T04:00:00.000Z,8,2000,6,OPEN,"752 AVENUE D, ROCHESTER, NY, 14621",43.180879,-77.602953,Clinton,257,Blunt Object,1,
-77.628745782028147,43.172345577868128,113,28,00-283980,2000-08-17T04:00:00.000Z,8,2000,2000-08-17T04:00:00.000Z,8,2000,0,OPEN,"417 LAKE AVE, ROCHESTER, NY, 14613",43.172337,-77.628743,Lake,271,Firearm,1,
-77.582587767346951,43.167450579257071,112,29,00-287735,2000-08-19T04:00:00.000Z,8,2000,2000-08-19T04:00:00.000Z,8,2000,0,CLOSED,"43 SIXTH ST, ROCHESTER, NY, 14605",43.167442,-77.582585,Clinton,297,Firearm,1,1
-77.60492577435646,43.178001579785622,111,30,00-300771,2000-08-29T04:00:00.000Z,8,2000,2000-08-29T04:00:00.000Z,8,2000,0,CLOSED,"133 THOMAS ST, ROCHESTER, NY, 14621",43.177993,-77.604923,Clinton,257,Firearm,1,3
-77.634616784686685,43.175467577865916,110,31,00-348452,2000-10-06T04:00:00.000Z,10,2000,2000-10-06T04:00:00.000Z,10,2000,0,CLOSED,"4 TACOMA ST, ROCHESTER, NY, 14613",43.175459,-77.634614,Lake,251,Firearm,1,2
-77.610367776798697,43.181051580492493,109,32,00-356077,2000-10-12T04:00:00.000Z,10,2000,2000-10-12T04:00:00.000Z,10,2000,0,CLOSED,"15 PARDEE ST, ROCHESTER, NY, 14621",43.181043,-77.610365,Clinton,217,Firearm,1,2
-77.646494787447466,43.160070574657624,108,33,00-357263,2000-10-13T04:00:00.000Z,10,2000,2000-10-13T04:00:00.000Z,10,2000,0,CLOSED,"488 HAGUE ST, ROCHESTER, NY, 14606",43.160062,-77.646492,Lake,281,Firearm,1,1
-77.6294517802705,43.144117572649158,107,34,00-357382,2000-10-14T04:00:00.000Z,10,2000,2000-10-14T04:00:00.000Z,10,2000,0,CLOSED,"545 JEFFERSON AVE, ROCHESTER, NY, 14611",43.144109,-77.629449,Genesee,233,Firearm,1,1
-77.572326763069839,43.165541579543856,106,35,00-374918,2000-10-28T04:00:00.000Z,10,2000,2000-10-28T04:00:00.000Z,10,2000,0,CLOSED,"245 PARSELLS AVE, ROCHESTER, NY, 14609",43.165533,-77.572324,Goodman,215,Firearm,1,1
-77.635478782782954,43.159620575739986,105,36,00-383193,2000-11-04T04:00:00.000Z,11,2000,2000-11-04T04:00:00.000Z,11,2000,0,CLOSED,"566 JAY ST, ROCHESTER, NY, 14611",43.159612,-77.635476,Lake,291,Firearm,1,1
-77.622614777784449,43.141331572454249,104,37,00-384000,2000-11-05T04:00:00.000Z,11,2000,2000-11-05T04:00:00.000Z,11,2000,0,CLOSED,"11 DAY PL, ROCHESTER, NY, 14608",43.141323,-77.622612,Genesee,233,Physical,1,1
-77.641143786300333,43.167535576939628,103,38,00-398207,2000-11-17T05:00:00.000Z,11,2000,2000-11-17T05:00:00.000Z,11,2000,0,OPEN,"134 MYRTLE ST, ROCHESTER, NY, 14606",43.167527,-77.641141,Lake,261,Firearm,1,
-77.60094277349377,43.182621580699518,102,39,00-426378,2000-12-15T05:00:00.000Z,12,2000,2000-12-15T05:00:00.000Z,12,2000,0,OPEN,"77 WARSAW ST, ROCHESTER, NY, 14621",43.182613,-77.60094,Clinton,227,Firearm,1,
-77.615202778532364,43.177982579659847,101,40,01-001213,2001-01-02T05:00:00.000Z,1,2001,2001-01-02T05:00:00.000Z,1,2001,0,CLOSED,"336 AVENUE A, ROCHESTER, NY, 14621",43.177974,-77.6152,Clinton,247,Firearm,1,2
-77.62161178108822,43.184703580028852,100,41,01-008986,2001-01-09T05:00:00.000Z,1,2001,2001-01-09T05:00:00.000Z,1,2001,0,CLOSED,"16 CUTLER ST, ROCHESTER, NY, 14621",43.184695,-77.621609,Clinton,217,Unknown,1,
-77.640541782937362,43.132250570116682,98,43,01-049878,2001-02-15T05:00:00.000Z,2,2001,2001-02-15T05:00:00.000Z,2,2001,0,CLOSED,"58 KRON ST, ROCHESTER, NY, 14619",43.132242,-77.640539,Genesee,243,Knife/Cutting Instrument,1,1
-77.619671777282235,43.142545572894512,97,44,01-076265,2001-03-12T04:00:00.000Z,3,2001,2001-03-12T04:00:00.000Z,3,2001,0,CLOSED,"675 PLYMOUTH AVE SOUTH, ROCHESTER, NY, 14608",43.142537,-77.619669,Genesee,233,Firearm,1,1
-77.600143773425245,43.175532580132888,96,45,01-104106,2001-04-05T04:00:00.000Z,4,2001,2001-04-06T04:00:00.000Z,4,2001,1,OPEN,"856 CLIFFORD AVE, ROCHESTER, NY, 14621",43.175524,-77.600141,Clinton,257,Unknown,1,
-77.607227776281661,43.181816580627597,95,46,01-118430,2001-04-16T04:00:00.000Z,4,2001,2001-04-16T04:00:00.000Z,4,2001,0,CLOSED,"26 JOSEPH PL, ROCHESTER, NY, 14621",43.181808,-77.607225,Clinton,227,Firearm,1,1
-77.629128779689225,43.144643573145039,94,47,01-119816,2001-04-18T04:00:00.000Z,4,2001,2001-04-18T04:00:00.000Z,4,2001,0,CLOSED,"515 JEFFERSON AVE, ROCHESTER, NY, 14611",43.144635,-77.629126,Genesee,233,Firearm,1,2
-77.612086777429639,43.182752580269529,93,48,01-120661,2001-04-18T04:00:00.000Z,4,2001,2001-04-18T04:00:00.000Z,4,2001,0,OPEN,"18 BURBANK ST, ROCHESTER, NY, 14621",43.182744,-77.612084,Clinton,217,Firearm,1,
-77.63014678356366,43.180325579325668,92,49,01-125898,2001-04-23T04:00:00.000Z,4,2001,2001-04-23T04:00:00.000Z,4,2001,0,OPEN,"25 DRIVING PARK AVE, ROCHESTER, NY, 14613",43.180317,-77.630144,Lake,251,Firearm,1,
-77.566127761072039,43.164656579312428,186,50,01-132232,2001-04-28T04:00:00.000Z,4,2001,2001-04-28T04:00:00.000Z,4,2001,0,OPEN,"535 GRAND AVE, ROCHESTER, NY, 14609",43.164648,-77.566125,Goodman,225,Firearm,1,
-77.626379779903431,43.153134574155708,184,52,01-180353,2001-06-03T04:00:00.000Z,6,2001,2001-06-03T04:00:00.000Z,6,2001,0,OPEN,"10 KING ST, ROCHESTER, NY, 14608",43.153126,-77.626377,Genesee,213,Firearm,1,
-77.628676780056324,43.144114572497351,183,53,01-180639,2001-06-03T04:00:00.000Z,6,2001,2001-06-03T04:00:00.000Z,6,2001,0,CLOSED,"540 JEFFERSON AVE, ROCHESTER, NY, 14608",43.144106,-77.628674,Genesee,233,Firearm,1,2
-77.613418778256701,43.184221580411304,185,51,01-184001,2001-06-01T04:00:00.000Z,6,2001,2001-06-02T04:00:00.000Z,6,2001,1,CLOSED,"1340 CLINTON AVE NORTH, ROCHESTER, NY, 14621",43.184213,-77.613416,Clinton,217,Firearm,1,1
